job,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-streaming,1594999468139,1594999468189,1594999469478,1594999469658
emergency-stop-table,1594999468139,1594999468189,1594999469561,1594999469667
emergency-stop-streaming,1594999469147,1594999469171,1594999470805,1594999470840
emergency-stop-table,1594999469147,1594999469171,1594999470858,1594999470920
emergency-stop-streaming,1594999470154,1594999470688,1594999471534,1594999471568
emergency-stop-table,1594999470154,1594999470688,1594999471954,1594999471967
vehicle-count,1594999469147,1594999469197,1594999472228,1594999472249
vehicle-count,1594999468139,1594999468216,1594999472241,1594999472257
vehicle-count,1594999468139,1594999468188,1594999472250,1594999472306
vehicle-count,1594999469147,1594999469171,1594999472398,1594999472416
vehicle-count,1594999468139,1594999468189,1594999472402,1594999472418
vehicle-count,1594999470154,1594999470688,1594999472402,1594999472419
emergency-stop-streaming,1594999471160,1594999471190,1594999472561,1594999472586
delay-statistics,1594999470154,1594999470687,1594999472669,1594999472694
delay-statistics,1594999468140,1594999468209,1594999472679,1594999472696
delay-statistics,1594999469147,1594999469164,1594999472682,1594999472697
emergency-stop-table,1594999471160,1594999471190,1594999472727,1594999472751
emergency-stop-streaming,1594999472162,1594999472185,1594999473453,1594999473462
emergency-stop-table,1594999472162,1594999472185,1594999473645,1594999473653
emergency-stop-streaming,1594999473168,1594999473186,1594999474336,1594999474365
emergency-stop-table,1594999473168,1594999473186,1594999474523,1594999474533
emergency-stop-streaming,1594999474171,1594999474182,1594999475372,1594999475383
emergency-stop-table,1594999474171,1594999474182,1594999475536,1594999475554
emergency-stop-streaming,1594999475175,1594999475186,1594999476365,1594999476387
emergency-stop-table,1594999475175,1594999475186,1594999476810,1594999476828
delay-statistics,1594999471160,1594999471187,1594999477267,1594999477287
delay-statistics,1594999475175,1594999475209,1594999477269,1594999477288
delay-statistics,1594999472162,1594999472187,1594999477270,1594999477289
delay-statistics,1594999473168,1594999473184,1594999477270,1594999477289
delay-statistics,1594999474171,1594999474181,1594999477256,1594999477313
emergency-stop-streaming,1594999476177,1594999476186,1594999477303,1594999477327
vehicle-count,1594999473168,1594999473183,1594999477514,1594999477541
vehicle-count,1594999472162,1594999472191,1594999477506,1594999477562
vehicle-count,1594999474171,1594999474182,1594999477508,1594999477564
